scientificName	taxonRank	scientificNameAuthorship	parentNameUsage	acceptedNameUsage	nomenclaturalStatus
Sapotaceae	family	Juss.	Ericales		nom. cons.
Sarraceniaceae	family	Dumort.	Ericales		nom. cons.
Sladeniaceae	family	Airy Shaw 	Ericales		
Styracaceae	family	DC. & Spreng.	Ericales		nom. cons.
Symplocaceae	family	Desf.	Ericales		nom. cons.
Tetrameristaceae	family	Hutch.	Ericales		
Theaceae	family	Mirb.	Ericales		nom. cons.
lamiids	clade		asterids		
Icacinales	order	Tiegh.	lamiids		
Icacinaceae	family	Miers	Icacinales		nom. cons.
Oncothecaceae	family	Kobuski ex Airy Shaw 	Icacinales		
Metteniusales	order	Takht.	lamiids		
Metteniusaceae	family	H.Karst. ex Schnizl. 	Metteniusales		
Garryales	order	Mart. 	lamiids		
Eucommiaceae	family	Engl.	Garryales		nom. cons.
Garryaceae	family	Lindl.	Garryales		nom. cons.
Gentianales	order	Juss. ex Bercht. & J.Presl	lamiids		
Apocynaceae	family	Juss.	Gentianales		nom. cons.
Gelsemiaceae	family	L.Struwe & V.A.Albert	Gentianales		
Pteleocarpaceae	family	Brummitt		Gelsemiaceae	
Gentianaceae	family	Juss.	Gentianales		nom. cons.
Loganiaceae	family	R.Br. ex Mart.	Gentianales		nom. cons.
Rubiaceae	family	Juss.	Gentianales		nom. cons.
Boraginales	order	Juss. ex Bercht. & J.Presl	lamiids		
Boraginaceae	family	Juss.	Boraginales		nom. cons.
Codonaceae	family	Weigend & Hilger		Boraginaceae	
Vahliales	order	Doweld	lamiids		
Vahliaceae	family	Dandy	Vahliales		
Solanales	order	Juss. ex Bercht. & J.Presl	lamiids		
Convolvulaceae	family	Juss.	Solanales		nom. cons.
Hydroleaceae	family	R.Br. 	Solanales		
Montiniaceae	family	Nakai	Solanales		nom. cons.
Solanaceae	family	Juss.	Solanales		nom. cons.
Sphenocleaceae	family	T.Baskerv.	Solanales		nom. cons.
Lamiales	order	Bromhead	lamiids		
Acanthaceae	family	Juss.	Lamiales		nom. cons.
Bignoniaceae	family	Juss.	Lamiales		nom. cons.
Byblidaceae	family	Domin	Lamiales		nom. cons.
Calceolariaceae	family	Olmstead	Lamiales		
Carlemanniaceae	family	Airy Shaw	Lamiales		
Gesneriaceae	family	Rich. & Juss.	Lamiales		nom. cons.
Lamiaceae	family	Martinov	Lamiales		nom. cons.
Labiatae	family	Juss.		Lamiaceae	
Lentibulariaceae	family	Rich.	Lamiales		nom. cons.
Linderniaceae	family	Borsch, K.Müll. & Eb.Fisch.	Lamiales		
Martyniaceae	family	Horan.	Lamiales		nom. cons.
Mazaceae	family	Reveal	Lamiales		
Oleaceae	family	Hoffmanns. & Link	Lamiales		nom. cons.
Orobanchaceae	family	Vent.	Lamiales		nom. cons.
Lindenbergiaceae	family	Doweld		Orobanchaceae	
Paulowniaceae	family	Nakai	Lamiales		
Pedaliaceae	family	R.Br.	Lamiales		nom. cons.
Phrymaceae	family	Schauer	Lamiales		nom. cons.
Plantaginaceae	family	Juss.	Lamiales		nom. cons.
Plocospermataceae	family	Hutch.	Lamiales		
Schlegeliaceae	family	Reveal	Lamiales		
Scrophulariaceae	family	Juss.	Lamiales		nom. cons.
Stilbaceae	family	Kunth	Lamiales		nom. cons.
Tetrachondraceae	family	Wettst.	Lamiales		
Thomandersiaceae	family	Sreem.	Lamiales		
Verbenaceae	family	J.St.Hil.	Lamiales		nom. cons.
campanulids	clade		asterids		
